English,Portuguese
Antialiasing,
Graphics,Gráficos
experience multiplier,multiplicador de experiência
Amount to Show:,Valor a mostrar:
Your Review of Player,Sua opinião sobre o Player
Give Reputation,Dar reputação a
Delete All,Apagar tudo
Resolution:,Resolução:
Profession Title,Titulo profissional
Or,Ou
All\n,Todos\n
Mechanical Water Pump,Bomba de água mecânica
Electric Water Pump,Bomba de água electrica
{0} of {1} currently filtered.,{0} de {1} atualmente filtrado.
Failed to notify changed: {0}.{1},Falha na notificação alterada: {0}. {1}
Assertion failed: {0},Falha na declaração: {0}
Pool size can't be more than {0},O tamanho da piscina não pode ser maior que {0}
{0} unlocked,{0} desbloqueado
specialty,especialidade
Level: {0},Nivel: {0}
Experience: {0},Experiência: {0}
"Sales tax: {0} Crafting fee tax: {1} Contract tax: {2} Direct Transfer tax: (public:{3}, own:{4})","Imposto sobre vendas: {0} Imposto sobre taxa de criação: {1} Imposto sobre contrato: {2} Imposto sobre transferência direta: (público: {3}, próprio: {4})"
Balance: {0},Saldo: {0}
{0:n1}ms,
Error during shutdown,Erro durante o desligamento
Joshua Tree,
White Bursage,
Barrel Cactus,
White Bursage Seed,Semente White Bursage
Plant to grow a white bursage.,Planta para crescer uma white bursage.
WhiteBursage,
White Bursage Seed Pack,Pacote de sementes White Bursage
Joshua Seed,Semente Joshua
Plant to grow a joshua tree.,Planta para crescer uma árvore joshua.
Joshua,
Joshua Seed Pack,Pacote de sementes Joshua
Barrel Cactus Seed,Sementes Barrel Cactus
Plant to grow barrel cactus.,Planta para crescer barrel cactus.
BarrelCactus,
Barrel Cactus Seed Pack,Pacote de sementes Barrel Cactus
Otter Carcass,Carcaça de lontra
A dead otter.,Uma lontra morta.
Exclusive Fullscreen,Exclusivo Fullscreen
Borderless Fullscreen,
Windowed,Em janela
SwitchObject,MudaObjecto
ButtonObject,ButãoObjecto
TollObject,
LogicGateObject,
Specialty Leveled-Up\nLevel 5,
WaterPumpObject,Bomba de Água
Logging\nGold,
Tool\nStrength,
Arrow\nEfficiency,
Lucky\nBreak,
Spruce,Abeto
Spruce Seed,Semente de Abeto
Spruce Seed Pack,
Wheat Mortar,
Masonry Mortar,
Charred Mortar,
Baked Mortar,
"A byproduct of processing lumber, wood pulp can be burned for Mortar or pressed into paper.",
Mortar,
A log hewn and shaped to be a building material. Hewing logs at a workbench will grant no experience.,
Player Trampled,
Can mine,
Id,
{0}: {1} {2} experience,
Added {0} to {1} managers.,
Removed {0} from {1} managers.,
Added {0} to {1},
Removed {0} from {1},
Can't make {0} the owner of {1} for security.,
{0} is now the owner of {1} account.,
Changed {0} account name to,
Custom,Personalizada
Generate Random Landscape,Gerar Paisagem Aleatória
Small,Pequeno
Default,Predefinido
Large,Grande
Insane,
Custom World Language,Idioma do Mundo Personalizado
Custom Difficulty Settings,Configurações de Dificuldade Personalizadas
Impact Days,
Random,Aleatório
Time in days when the meteor will impact. Changing this value will override impact time for current active meteor.,Tempo em dias em que o meteoro terá impacto. Alterar esse valor substituirá o tempo de impacto do meteoro ativo atual.
{0} at {1},
{0} Bought {1},{0} Comprou {1}
Changes the distance at which game objects are rendered.\n\nPerformance impact: High,Altera a distância na qual os objetos do jogo são renderizados.\n\nImpacto no desempenho: Alto
Determines actual interface size.\n\nPerformance impact: None,Determina o tamanho real da interface.\n\nImpacto no desempenho: nenhum
Determines how bright the final picture is.\n\nPerformance impact: None,Determina o quão brilhante é a imagem final.\n\nImpacto no desempenho: nenhum
"Antialiasing aims to cut down on the pixellated, jagged edges you see in the game and helps to smooth out objects when you can't increase the resolution any further.\n\nPerformance impact: High",O antialiasing visa reduzir as bordas irregulares e pixelizadas que você vê no jogo e ajuda a suavizar os objetos quando você não pode aumentar mais a resolução.\n\nImpacto no desempenho: alto
Shadow quality determines how good shadows look in game.\n\nPerformance impact: Average,A qualidade da sombra determina a aparência das sombras no jogo.\n\nImpacto no desempenho: médio
Render scale,
"Render scale lets you use a 'lower resolution' while technically keeping your native resolution going. Playing at a 75% render scale will lower the load on your GPU as if it was a lower resolution while still displaying it in the proper, native resolution to avoid the blurry image.\n\nPerformance impact: High",A escala de renderização permite usar uma 'resolução mais baixa' enquanto mantém tecnicamente a resolução nativa. Tocar em uma escala de renderização de 75% reduzirá a carga na sua GPU como se ela tivesse uma resolução mais baixa e ainda a exibisse na resolução nativa adequada para evitar a imagem tremida.\n\nImpacto no desempenho: alto
Vertical Synchronization,Sincronização vertical
Enabling VSync tells your graphics card to synchronize its actions with your monitor. That means the graphics card is only allowed to render things to the monitor when the monitor says it is ready to repaint a new screen.\n\nPerformance impact: Average,A ativação do VSync informa à sua placa de vídeo para sincronizar suas ações com o seu monitor. Isso significa que a placa de vídeo só pode renderizar coisas para o monitor quando o monitor diz que está pronto para repintar uma nova tela.\n\nImpacto no desempenho: média
Microphone,Microfone
Voice Chat,Chat de voz
World dimensions should divide on {0},As dimensões mundiais devem se dividir em {0}
Failed to start the server. {0}: {1},Falha ao iniciar o servidor. {0}: {1}
Contract not accepted: cannot accept multiple copies of same contract at once.,Contrato não aceito: não é possível aceitar várias cópias do mesmo contrato de uma só vez.
Ideal Water Range,Faixa de água ideal
Water Extremes,Extremos de água
water Range,faixa de água
Sunflower,Girassol
Seagrass,Algas marinhas
Jointfir,
Sunflower Seed,Semente de girassol
Plant to grow sunflowers.,Planta para cultivar girassóis.
Sunflower Seed Pack,Pacote de sementes de girassol
Seagrass Seed,Semente de algas marinhas
Plant to grow seagrass.,Planta para crescer algas marinhas.
Seagrass Seed Pack,Pacote de sementes de algas marinhas
Jointfir Seed,Semente de Jointfir
Plant to grow a jointfir.,Planta para crescer uma Jointfir.
Jointfir Seed Pack,Pacote de sementes Jointfir
Common Grass,Erva Comum
Ocean Biome,Bioma Oceâneo
Deep Ocean Biome,Bioma Oceâneo Profundo
Target water,Água alvo
The plant's preferred salt water range.  Water in this range won't inhibit population growth or reduce yield.,A faixa preferida de água salgada da planta. A água nesta faixa não inibe o crescimento da população nem reduz o rendimento.
The rainfall range that can support this plant (albeit at reduced efficiency if the rainfall is not also within the ideal range).  Rainfall outside this range prohibits reproduction entirely and prevent any yield at all.,A faixa de chuva que pode suportar esta planta (embora com eficiência reduzida se a chuva também não estiver dentro da faixa ideal). As chuvas fora deste intervalo proíbem totalmente a reprodução e impedem qualquer rendimento.
The salt water range that can support this plant (albeit at reduced efficiency if the salt water is not also within the ideal range).  Salt water outside this range prohibits reproduction entirely and prevent any yield at all.,A faixa de água salgada que pode suportar esta planta (embora com eficiência reduzida se a água salgada também não estiver dentro da faixa ideal). A água salgada fora dessa faixa proíbe totalmente a reprodução e evita qualquer rendimento.
"Identifier used to create the server's voice channel, keep secret","Identificador usado para criar o canal de voz do servidor, manter segredo"
"EXPERIMENTAL: Tick World Objects in parallel. May significantly increase performance, but also may cause crashes and inconsistency. Use it on your own risk.","EXPERIMENTAL: Marque Objetos Mundiais em paralelo. Pode aumentar significativamente o desempenho, mas também pode causar falhas e inconsistência. Use-o por sua conta e risco."
Can't find suitable server executable,Não foi possível encontrar o servidor executável adequado
Resource List,Lista de recursos
Sleeping,Adormecido
Logging level for admin commands executed: None - no logging; Log File - logged in a file; Log File And Notify Admins - logged in a file and admins see a message in the chat; Log File And Notify Everyone - logged in a file and everyone see a message in the chat,Nível de log para comandos de administrador executados: Nenhum - sem log; Arquivo de log - logado em um arquivo; Arquivo de log e notificar administradores - fez login em um arquivo e os administradores veem uma mensagem no chat; Arquivo de log e notificar a todos - logou em um arquivo e todos viram uma mensagem no chat
Currently trapping animals.,Atualmente aprisionando animais.
Push to talk,Pressione para falar
Open mic,Microfone aberto
Host in Cloud,Hospede na nuvem
World runs while you run\nEco,O mundo corre enquanto você executa\nEco
Host Locally,Hospedar localmente
World runs 24/7,O mundo corre 24/7
Add 'Citizen' accounts to allow friends to play\nwithout owning Eco,Adicione contas de 'Cidadão' para permitir que os amigos joguem\nsem possuir o Eco
Voice chat,Chat de voz
Player voice,Voz do jogador
Click to mute player,Clique para silenciar o player
Click to unmute the player,Clique para ativar o som do player
Moisture,Humidade
Plant Group,Grupo de plantas
Animal Group,Grupo de animais
Nutrient,Nutrientes
Consumption,Consumo
Misc,
Lights,Luzes
Power,
Sign,Placa
Research,Pesquisa
Experience Multiplier,Multiplicador de experiência
Posted by {0}. State: {1},Postado por {0}. Estado: {1}
SFX Volume\n,
Music Volume,
Show speaking players on screen,Mostrar jogadores falantes na tela
Voice Volume,Volume de voz
Push to Talk,Pressione para falar
No Spread,Sem propagação
"For plants that shouldn't ever grow more. Old growth, mostly. Normal growth is needed for world gen to work properly.","Para plantas que nunca deveriam crescer mais. Crescimento antigo, principalmente. O crescimento normal é necessário para que a geração mundial funcione corretamente."
Global Reputation,Reputação global
Object Rights,Direitos de objeto
Permanently,Permanentemente
Contract End,Fim de contracto
{0} Location: {1},{0} Local: {1}
IP Address or Hostname and Port,Endereço IP ou nome do host e porta
hours,horas
percent,percentagem
angle,
rubble,
warning,
yield,
hour,
days,
durability,
material,
lender,
borrower,
copies,
cost,
val,
Entries,Entradas
XP,
Item Type,Tipo de item
Items Moved,Items movidos
Amount,Quantidade
Number Of Items,Numero de items
Bought,Comprou
Seller,Vendedor
Cost,Custo
Demographic,Demográfico
Entered,Entrou
First Time,Primeira Vez
Claimed,Reclamado
Tax Rate,Rácio de taxa
Election,Eleição
Election Process,Processo de eleição
Elected Title,Titulo Eleito
Profession,Profissão
Specialty,Especialidade
Felled,Derrubado
Branches Targeted,Ramos segmentados
Destroyed,Destruidos
Placed,Posto
Tag,Etiqueta
Tons,
Source Account,Conta de origem
Element,Elemento
Applies to,Aplica-se a
Proposers,Proponentes
Any Law,Qualquer lei
Process,Processo
Voters,Votantes
If,Se
Then,Então
Else,Outro
Trigger,Desencadear
Conditions,Condições
Causes,Causas
Effects,Efeitos
Left,Esquerda
Right,Direita
Left Number,Numero esquerdo
Right Number,Numero direito
Number,Numero
Requirements,Requisitos
Block,Bloco
Position,Posição
Speech,Discurso
Elected,Eleito
Removed,Removido
Active,Activo
Storage Handle,
Total CO2 ppm,
Past 24 Hours CO2 ppm Delta,
CO2 From Animals ppm,
CO2 From Plants ppm,
Initial Sea Level,Nível do Mar Inicial
Sea Level Applied,Nível do Mar Aplicado
Unique Abbreviation,Abreviação Única
Controller ID,ID do Controlador
Is Considered Nearby Food During Spawn Check,
Invertebrates,Invertebrados
Ecko accepts your tribute of {0:wanted} and grants you {1:given} for your devotion.,
stomach capacity,capacidade estomacal
Wooden fish traps must be placed underwater in fresh water to function.,Armadilhas písceas de madeira devem ser colocadas debaixo d'águas doces para funcionar.
Road Items,
{0} leveled-up to level {1},
Use for spawn finder,
Referenced By,Referenciado por
A helpful player-created description explaining the purpose of this object for other players.,
Created by {0},Criado por {0}
Playtimes for {0},
Total time: {0},Tempo total: {0}
Object types include:,
The following sub-commands are available:,
Actionbar Items,
Current population of a given species.,
The species which should have its population measured.,
The game action we're counting.,
"If set, only count actions by this user.",
Statistics,Estatísticas
success.,
failed,
Must be inside or outside the listed districts?,Deve estar dentro ou fora dos distritos listados?
Total online hours of {0},Total de horas on-line de {0}
The range to check. '0' means count all online time.,O intervalo a ser verificado. '0' significa contar todo o tempo online.
Player,Jogadores
{0} is {1},{0} at {1}
Detect skills players have or lack.,Detecte habilidades que os jogadores têm ou não.
Which skills to consider.,Quais habilidades considerar.
"Must the user have only one, or all of the listed skills?",O usuário deve ter apenas uma ou todas as habilidades listadas?
How many level-ups must the skills have?,Quantos níveis devem ter as habilidades?
Which demographics to check.,Quais dados demográficos devem ser verificados.
The left number of the operation.,O número esquerdo da operação.
The right number of the operation.,O número direito da operação.
The value to take the percent from.,O valor a tirar da percentagem.
The percentage to take.  100 = 100%.,A porcentagem a ser tomada. 100 = 100%.
The user whose personal bank account will be used.,O usuário cuja conta bancária pessoal será usada.
