,An extra fatty leavened dough for making yummy pastries.,Додаткове жирне дріжджове тісто для приготування смачної випічки.
,Leavened dough with added yeast that rises when baked.,"Дріжджове тісто з додаванням дріжджів, яке піднімається при випіканні."
,"Blackened taro root. Not the tastiest meal, but a great source of energy for early rainforest settlers.","Почорнілий корінь таро. Не найсмачніша їжа, але чудове джерело енергії для ранніх поселенців тропічних лісів."
,Pineapple that has been charred over a basic campfire.,
,Papaya fruit that has been charred over a basic campfire.,
,A collection of charred mushrooms. Cooking mushrooms properly can remove some of the toxins.,
,Heart of palm collected fom fallen pineapple trees that have been charred over a campfire.,
,Blackened cactus fruit. A favorite of early desert settlers.,
,A mushy mixture that can serve somewhat as a replacement protein in a meatless diet.,"Кашеподібна суміш, що згодиться як заміна білкової їжі при пісній дієті."
,Agave leaves that have been charred over a campfire,
,"Baked tomatoes might not look as red or plump as the raw variety, but they are nice and tasty.",
,Baked taro root,
,Baked meat is less fatty than other methods of cooking.,
,Baked heart of palm that retains more nutrients than more simple methods of cooking.,
,Baked corn that retains more nutrients than more simple methods of cooking.,
,Baked beets that retain more nutrients than more simple methods of cooking.,
,The succulent leaves of the agave plant can be cooked to make a nice meal.,
,Wood pulp and dirt make a great filler for other fertilizers. ,
,Phosphate fertilizer is a great source of Phosphorus.,
,A fertilize made from fur pelts and filler.,
,A fertilizer made from hide ash and fillers.,
,A filler ingredient used in a variety of fertilizers.,
,"Compost fertilizer is a classic, low effort fertilizer.",Компостне добриво – це класичне добриво з низькими зусиллями.
,"Camas ash fertilizer, though not very potent, is a great source of potassium.","Добриво з попелу Camas, хоча і не дуже потужне, є прекрасним джерелом калію."
